timestamp,symbol,entry_spread,exit_spread,spread_velocity,hold_minutes,pnl,exit_reason
2026-01-28T21:56:32.167640,WLDUSDT,0.89,-0.241,-6.783,0.18,1.7,Spread converged (profit)
2026-01-28T22:42:31.134067,WLDUSDT,0.759,-0.081,-5.038,0.19,1.26,Spread converged (profit)
2026-01-28T22:53:44.537358,WLDUSDT,0.957,-0.031,-5.93,0.18,1.48,Spread converged (profit)
2026-01-29T00:00:25.543706,WLDUSDT,0.881,0.035,-5.077,0.18,1.27,Spread converged (profit)
2026-01-29T00:06:25.834715,KITEUSDT,0.613,0.293,-2.717,0.74,0.48,Spread collapsing fast
2026-01-29T00:07:08.272059,KITEUSDT,0.668,0.172,-2.976,0.19,0.74,Spread collapsing fast
2026-01-29T03:05:57.140362,KITEUSDT,0.752,0.142,-3.657,0.18,0.91,Spread converged (profit)
2026-01-29T03:23:30.779389,KITEUSDT,0.757,-0.127,-5.302,0.18,1.33,Spread converged (profit)
2026-01-29T06:52:01.964236,KITEUSDT,0.814,-0.106,-5.523,0.19,1.38,Spread converged (profit)
2026-01-29T07:18:54.783954,KITEUSDT,0.692,0.028,0.06,1.0,Spread converged (profit)
2026-01-29T10:20:30.744528,KITEUSDT,0.768,0.062,0.05,1.06,Spread converged (profit)
2026-01-29T11:29:42.828690,KITEUSDT,0.644,0.068,0.07,0.86,Spread converged (profit)
2026-01-29T14:43:20.268156,ZECUSDT,0.702,-0.19,0.08,1.34,Spread converged (profit)
2026-01-29T15:19:12.775645,PUMPUSDT,0.927,0.069,0.05,1.29,Spread converged (profit)
2026-01-29T16:45:25.302086,KITEUSDT,0.625,0.028,0.11,0.9,Spread converged (profit)
2026-01-29T23:34:58.203176,KITEUSDT,0.784,0.076,0.05,1.06,Spread converged (profit)
2026-01-30T00:09:53.339587,KITEUSDT,0.693,0.069,0.5,0.94,Spread converged (profit)
2026-01-30T01:42:53.097042,ZECUSDT,1.117,1.784,0.1,-0.96,Spot volatility spike
2026-01-30T01:43:07.578871,ENAUSDT,1.611,-0.532,0.05,3.22,Spread converged (profit)
2026-01-30T01:45:28.769496,DASHUSDT,0.696,-0.151,0.05,1.27,Spread converged (profit)
2026-01-30T01:52:19.005707,KITEUSDT,0.698,0.093,0.11,0.91,Spread converged (profit)
2026-01-30T12:47:13.374679,PUMPUSDT,0.855,0.0,0.03,1.28,Spread converged (profit)
2026-01-30T13:30:17.212297,TAOUSDT,0.838,-0.272,0.1,1.67,Spread converged (profit)
2026-01-30T18:20:35.094188,ZECUSDT,0.865,-0.127,0.17,1.49,Spread converged (profit)
2026-01-31T08:17:35.737684,ASTERUSDT,1.073,0.069,0.07,1.51,Spread converged (profit)
2026-01-31T14:26:51.884646,PUMPUSDT,0.929,-0.389,0.15,1.97,Spread converged (profit)
