timestamp,symbol,spot_price,futures_price,spread_pct,funding_rate,net_spread,volume
2026-02-02T14:13:39.999519,ZAMAUSDT,0.03209,0.0323,0.654,0.005,0.294,23930141.71327
2026-02-02T14:21:10.870165,ZAMAUSDT,0.03225,0.0325,0.775,0.005,0.415,24914220.12816
2026-02-02T14:29:11.906156,ZAMAUSDT,0.0312,0.0314,0.641,0.005,0.281,25879067.85214
2026-02-02T14:42:12.946064,ZAMAUSDT,0.03204,0.0323,0.811,0.005,0.451,26875429.73904
2026-02-02T14:51:30.334196,ZAMAUSDT,0.03228,0.0325,0.682,0.005,0.322,27598202.04511
2026-02-02T15:00:53.596075,ZAMAUSDT,0.03238,0.0326,0.679,0.005,0.319,28214525.79672
2026-02-02T15:03:38.319756,ZAMAUSDT,0.0321,0.0323,0.623,0.005,0.263,28345608.96955
2026-02-02T15:05:32.921551,ZAMAUSDT,0.03299,0.0335,1.546,0.005,1.186,29023989.43871
2026-02-02T15:05:52.760141,ZAMAUSDT,0.03255,0.0329,1.075,0.005,0.715,29082131.10626
2026-02-02T16:00:08.898745,ZAMAUSDT,0.0332,0.0337,1.506,0.005,1.146,35572306.78172
2026-02-02T17:06:36.522229,ZAMAUSDT,0.03556,0.0371,4.331,0.005,3.971,43007059.42003
2026-02-02T17:06:58.658739,ZAMAUSDT,0.03554,0.0358,0.732,0.005,0.372,43230468.06389
2026-02-02T17:09:36.520555,ZAMAUSDT,0.03481,0.0352,1.12,0.005,0.76,43771704.76327
2026-02-03T08:47:54.843722,ZAMAUSDT,0.03152,0.0318,0.888,0.005,0.528,86051818.78503
2026-02-03T19:35:04.758218,ZAMAUSDT,0.02733,0.0275,0.622,0.004185,0.262,138297532.30412
2026-02-03T19:36:09.517381,ZAMAUSDT,0.02723,0.0274,0.624,0.0044,0.264,138271797.29276
